,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
587,"(1, 2)",1,2,465.81389517499997,44,5,-0.10430148101987055,-0.09344240360229039,0.8950317942679611,563.8892211914062,278.3218078613281,622.0332641601562,129.85244750976562,563.9690997674516,278.195409026608,620.9708986954377,131.42461282274786
588,"(1, 2)",1,2,465.81389517499997,44,6,-0.15757591913482283,-0.005662555892431521,0.9503956427048411,504.26153564453125,389.3704833984375,579.8829345703125,183.04991149902344,504.2645557489488,389.3374513779796,579.6930857904425,183.37335581469432
589,"(1, 2)",1,2,465.81389517499997,44,7,-0.15676593086811086,-0.04964960723534236,0.9224181694791506,505.9500732421875,333.40411376953125,587.59716796875,156.08116149902344,505.9506912964128,333.40067281825094,587.2214533148028,156.82712754832943
590,"(1, 2)",1,2,465.81389517499997,44,8,-0.15580831641993506,-0.09483158212129601,0.8942972739335976,507.56732177734375,276.1908264160156,596.6610717773438,125.75772094726562,507.578981431979,276.09405177509984,595.9891626422617,127.23412194477535
591,"(1, 2)",1,2,465.81389517499997,44,9,-0.20912472250175895,-0.010544199159956177,0.9596934772983097,447.347900390625,388.9447937011719,552.7950439453125,178.71229553222656,447.3941849985256,388.88617832057304,552.7402855230503,179.01242885351576
592,"(1, 2)",1,2,465.81389517499997,44,10,-0.20947515860882743,-0.05124272344492432,0.9241753370159485,447.9453125,332.543701171875,560.6168212890625,152.6757049560547,447.9496382588435,332.5231264940992,560.4636039320169,153.37605282991626
593,"(1, 2)",1,2,465.81389517499997,44,11,-0.20844854057906131,-0.09666242176715946,0.895637164127658,449.6026611328125,274.4607238769531,568.5258178710938,122.15666198730469,449.57407986634087,274.3540768357071,568.200293658559,123.57854138231914
594,"(0, 1)",0,1,465.9886853,45,0,-0.06659559400109366,1.3435769899481301e-05,0.9377225220715899,485.300537109375,303.4187316894531,604.935546875,389.4955749511719,485.3398458227613,303.3881034427909,604.9416572277547,389.4173605223565
595,"(0, 1)",0,1,465.9886853,45,1,-0.06523285607740219,-0.04692275721607085,0.9150883683933564,485.46160888671875,277.3905334472656,606.3008422851562,333.0866394042969,485.4764755304876,277.3525386098353,606.3763939009771,333.0147895018662
596,"(0, 1)",0,1,465.9886853,45,2,-0.06521626147472119,-0.09147725350300448,0.8870960131225267,484.1627197265625,250.8751983642578,607.4407348632812,276.2889404296875,484.1955960812789,250.81709671079227,607.5989200619745,276.1033072857905
597,"(0, 1)",0,1,465.9886853,45,3,-0.1173913486277169,-0.0020063892321859097,0.9418455144299185,458.2293701171875,302.7566223144531,548.7593994140625,389.15252685546875,458.430215932631,302.6652825018975,548.7502384942886,389.11471623314395
598,"(0, 1)",0,1,465.9886853,45,4,-0.11809913028866219,-0.045099809737817714,0.9110833430410757,455.11151123046875,278.28948974609375,549.47119140625,332.5682067871094,455.2999578373724,278.24044606376737,549.4905946640438,332.54967597325566
599,"(0, 1)",0,1,465.9886853,45,5,-0.11677589437516919,-0.09316473838162673,0.8887684814664356,453.50146484375,249.61509704589844,551.0992431640625,275.203369140625,453.72893034990807,249.61277964417778,551.1631590694337,275.0795317617806
600,"(0, 1)",0,1,465.9886853,45,7,-0.16840841373136622,-0.04774233881363601,0.9158114344872884,426.599365234375,276.87420654296875,493.69183349609375,332.1507873535156,427.1857473819605,276.80984601762316,493.69080203710155,332.1466109594479
