,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
513,513,249098.93954765,249098.9485615,249098.93497270002
514,514,dropped,dropped,249098.96897125
515,515,249099.0454147,dropped,249099.0344302
516,516,249099.0454147,dropped,249099.0344302
517,517,dropped,249099.0628368,249099.06842165
518,518,dropped,dropped,249099.10251915
519,519,dropped,249099.20110395,249099.1690196
520,520,dropped,249099.20110395,249099.1690196
521,521,dropped,dropped,249099.20184265
522,522,249099.33972325,249099.3487815,249099.3352481
523,523,249099.33972325,249099.3487815,249099.3352481
524,524,249099.33972325,249099.3487815,249099.3352481
525,525,249099.33972325,249099.3487815,249099.3352481
526,526,dropped,dropped,249099.3681429
527,527,249099.4455348,dropped,249099.4347443
528,528,249099.4455348,dropped,249099.4347443
529,529,dropped,249099.4626571,249099.46858825
530,530,dropped,dropped,249099.50181395002
531,531,dropped,249099.60140425002,249099.5677207
532,532,dropped,249099.60140425002,249099.5677207
533,533,dropped,dropped,249099.60159530002
534,534,dropped,dropped,249099.70164595
535,535,249099.73945035,249099.74855715001,249099.73567895
536,536,249099.73945035,249099.74855715001,249099.73567895
537,537,249099.73945035,249099.74855715001,249099.73567895
538,538,dropped,dropped,249099.76859305002
539,539,249099.84552735,dropped,249099.83462754998
540,540,249099.84552735,dropped,249099.83462754998
541,541,dropped,249099.86253440002,249099.86819185002
542,542,dropped,dropped,249099.90162805002
543,543,dropped,249100.00111040002,249100.00102745002
544,544,dropped,249100.00111040002,249100.00102745002
545,545,dropped,249100.00111040002,249100.00102745002
546,546,249100.04230135,dropped,249100.0342202
547,547,249100.13947755,249100.1483154,249100.13530625
548,548,249100.13947755,249100.1483154,249100.13530625
549,549,249100.13947755,249100.1483154,249100.13530625
550,550,dropped,dropped,249100.16817505
551,551,249100.24567285,dropped,249100.2357019
552,552,249100.24567285,dropped,249100.2357019
553,553,dropped,249100.26258765,249100.26860735
554,554,dropped,dropped,249100.30113345
555,555,dropped,249100.4009867,249100.3680817
556,556,dropped,249100.4009867,249100.3680817
557,557,dropped,dropped,249100.40191115
558,558,dropped,dropped,249100.50188345002
559,559,249100.53972190002,249100.54886445001,249100.5348276
560,560,249100.53972190002,249100.54886445001,249100.5348276
561,561,249100.53972190002,249100.54886445001,249100.5348276
562,562,dropped,dropped,249100.56823215
563,563,249100.64532955003,dropped,249100.63522925
564,564,249100.64532955003,dropped,249100.63522925
565,565,dropped,249100.66231195,249100.66777635
566,566,dropped,dropped,249100.70120575
567,567,dropped,dropped,249100.76864199998
568,568,dropped,249100.80091715,249100.80080204998
569,569,dropped,249100.80091715,249100.80080204998
570,570,249100.84181645,dropped,249100.835656
571,571,249100.93956625002,249100.9486351,249100.93466154998
572,572,249100.93956625002,249100.9486351,249100.93466154998
573,573,249100.93956625002,249100.9486351,249100.93466154998
574,574,dropped,dropped,249100.96867035
575,575,249101.04551989998,dropped,249101.0348316
576,576,249101.04551989998,dropped,249101.0348316
577,577,dropped,249101.06257325,249101.0687443
578,578,dropped,dropped,249101.10168555
579,579,dropped,249101.19296800002,249101.1679009
580,580,dropped,249101.19296800002,249101.1679009
581,581,dropped,dropped,249101.2017618
582,582,dropped,249101.33188075002,249101.3017706
583,583,dropped,249101.33188075002,249101.3017706
584,584,dropped,249101.33188075002,249101.3017706
585,585,249101.33939480002,dropped,249101.33567220002
586,586,249101.44578945002,dropped,249101.4350551
587,587,249101.44578945002,dropped,249101.4350551
588,588,249101.44578945002,dropped,249101.4350551
589,589,dropped,249101.4627921,249101.46903485002
590,590,dropped,dropped,249101.50149965
591,591,dropped,249101.5932709,249101.56833689997
